time,x,y,z,qx,qy,qz,qw,roll,pitch,yaw
4.51781,-0.298773,-0.0451078,1.55728,0.0185014,-0.0106764,-0.00141556,0.999771,0.0369809,-0.0214018,-0.00243597
4.5277,-0.298849,-0.0450223,1.55722,0.019772,-0.00988936,-0.00132912,0.999755,0.0395261,-0.0198277,-0.00226698
4.53768,-0.299058,-0.04511,1.55721,0.0193882,-0.00802771,-0.00131613,0.999779,0.0387615,-0.0161036,-0.00232068
4.54772,-0.299278,-0.0451977,1.55724,0.0179664,-0.00568943,-0.00152345,0.999821,0.035919,-0.0114318,-0.00284211
4.55768,-0.299483,-0.0452511,1.55725,0.0163844,-0.00374584,-0.00195093,0.999857,0.0327562,-0.0075546,-0.00377867
4.56768,-0.299735,-0.0453804,1.55731,0.014129,-0.001517,-0.0021941,0.999897,0.0282523,-0.00309569,-0.0043449
4.57775,-0.30005,-0.0455925,1.55742,0.0104486,0.00146564,-0.00218168,0.999942,0.0209039,0.00288553,-0.00439376
4.58768,-0.300215,-0.0457128,1.55752,0.00751168,0.00313209,-0.00220857,0.999964,0.0150375,0.00623082,-0.00446415
4.59775,-0.300454,-0.0459174,1.55761,0.00391398,0.00486173,-0.0021975,0.999978,0.00784961,0.00970619,-0.00443318
4.60787,-0.300624,-0.0460439,1.55766,0.00138698,0.00512571,-0.00215743,0.999984,0.00279618,0.0102454,-0.00432924
